,Player,Restricted Area Percentage,2FGM %AST,Interior scoring %,Drive vs Pullup Ratio,Drive Pass %,Avg Dribble Per Touch
173,Elijah Hughes,0.4444444444444445,50.0,0.2857142857142857,1.6363636363636362,44.6,1.37
174,Emanuel Terry,0.5882352941176471,0.0,,inf,100.0,0.42
175,Emmanuel Mudiay,0.0,0.0,0.0,2.5,60.0,4.44
176,Enes Freedom,0.8,38.8,0.7567567567567567,1.0,0.0,0.28
177,Eric Bledsoe,0.5952380952380952,30.1,0.4646464646464646,3.4814814814814814,46.9,3.92
178,Eric Gordon,0.6363636363636362,34.0,0.3582089552238806,3.5,28.6,3.32
179,Eric Paschall,0.7142857142857143,58.1,0.4482758620689655,23.999999999999996,30.0,0.83
180,Eugene Omoruyi,1.0,0.0,0.3333333333333333,1.0,50.0,1.21
181,Evan Fournier,0.44827586206896547,47.8,0.19858156028368792,1.0638297872340425,40.1,1.76
182,Evan Mobley,0.5632183908045978,65.2,0.6799999999999999,1.6666666666666665,25.4,0.79
183,Facundo Campazzo,0.6428571428571429,38.8,0.27450980392156865,2.923076923076923,64.8,4.22
184,Feron Hunt,1.0,0.0,,,0.0,0.5
185,Frank Jackson,0.5937499999999999,67.6,0.33962264150943394,1.5909090909090908,24.3,1.34
186,Frank Kaminsky,0.5357142857142857,71.0,0.6603773584905661,2.166666666666667,16.7,0.48
187,Frank Ntilikina,0.3846153846153846,52.9,0.24390243902439027,1.909090909090909,48.0,2.38
188,Franz Wagner,0.6,53.1,0.5789473684210527,4.55,24.1,2.37
189,Fred VanVleet,0.48780487804878053,22.5,0.17733990147783252,1.477272727272727,57.7,4.0
190,Freddie Gillespie,0.42857142857142855,77.8,0.8695652173913044,2.9999999999999996,66.7,0.53
191,Furkan Korkmaz,0.6,52.4,0.34210526315789475,1.7619047619047619,40.1,2.54
192,Gabe Vincent,0.65,40.0,0.25287356321839083,1.7241379310344829,56.6,3.75
193,Gabe York,0.0,100.0,0.25,2.0,50.0,0.93
194,Gabriel Deck,0.7,66.7,0.5384615384615384,2.5,57.1,1.11
195,Gabriel Lundberg,0.7272727272727273,0.0,0.0,1.0,72.7,2.36
196,Garrett Temple,0.7142857142857143,63.5,0.2692307692307692,1.8,50.5,1.32
197,Garrison Mathews,0.8,75.6,0.12,1.3333333333333333,48.1,0.62
198,Gary Clark,0.6,80.0,0.07407407407407407,2.5,47.4,0.57
199,Gary Harris,0.6551724137931034,58.9,0.3063063063063063,1.6818181818181817,39.3,1.78
200,Gary Payton II,0.78125,78.7,0.676056338028169,4.0,53.3,0.78
201,Gary Trent Jr.,0.4047619047619047,41.1,0.2185792349726776,0.6,23.6,2.26
202,George Hill,0.6956521739130436,44.2,0.41935483870967744,3.4,44.8,3.59
203,George King,1.0,0.0,0.0,inf,0.0,0.58
204,Georges Niang,0.5238095238095238,71.1,0.23913043478260873,5.0,39.7,0.64
205,Georgios Kalaitzakis,0.6969696969696969,52.4,0.6060606060606061,2.5555555555555554,26.7,2.04
206,Giannis Antetokounmpo,0.725,43.2,0.5284280936454849,1.7727272727272727,33.8,2.55
207,Goga Bitadze,0.7941176470588235,69.4,0.6,1.4999999999999998,35.3,0.44
208,Goran Dragic,0.5483870967741936,19.5,0.4533333333333333,2.869565217391304,50.0,3.65
209,Gordon Hayward,0.5689655172413793,57.9,0.36477987421383645,2.18421052631579,43.8,1.83
210,Gorgui Dieng,0.6666666666666666,83.3,0.2285714285714286,0.8333333333333334,50.0,0.66
211,Grant Williams,0.65,71.7,0.33333333333333337,4.0,43.0,0.56
212,Grayson Allen,0.625,64.6,0.23423423423423426,2.4444444444444446,48.1,1.31
213,Greg Brown III,0.8400000000000001,64.5,0.5531914893617021,3.25,32.3,0.79
214,Greg Monroe,0.7692307692307693,56.3,0.8518518518518517,4.0,16.7,0.47
215,Hamidou Diallo,0.6229508196721312,51.7,0.6545454545454545,2.7777777777777777,20.9,1.59
216,Harrison Barnes,0.5964912280701755,56.6,0.3658536585365854,4.5,36.4,1.3
217,Hassan Whiteside,0.6734693877551019,63.7,0.8048780487804879,1.0,15.4,0.31
218,Hassani Gravett,0.45454545454545453,42.9,0.19047619047619047,1.5,54.2,4.65
219,Haywood Highsmith,0.7499999999999999,85.7,0.3478260869565218,2.0,37.5,0.74
220,Herbert Jones,0.7391304347826088,63.1,0.5473684210526315,12.666666666666666,34.2,1.26
221,Ignas Brazdeikis,0.6956521739130436,57.4,0.52,5.833333333333334,49.3,1.83
222,Immanuel Quickley,0.3225806451612903,29.9,0.2654867256637168,1.3962264150943398,47.1,4.61
223,Isaac Bonga,0.6666666666666666,50.0,0.5,inf,33.3,0.95
224,Isaac Okoro,0.85,71.7,0.5,11.0,39.6,1.4
225,Isaiah Hartenstein,0.6122448979591836,74.9,0.7710843373493975,3.666666666666667,28.6,0.69
226,Isaiah Jackson,0.8113207547169812,75.7,0.7710843373493974,1.3333333333333335,15.4,0.34
227,Isaiah Joe,0.6,64.7,0.11111111111111112,1.2857142857142858,57.7,1.44
228,Isaiah Livers,0.7499999999999999,64.3,0.18749999999999997,2.428571428571429,50.0,0.78
229,Isaiah Roby,0.6382978723404255,68.9,0.49504950495049505,4.8,29.2,0.68
230,Isaiah Stewart,0.8275862068965517,68.9,0.7469879518072288,2.9999999999999996,26.1,0.52
231,Isaiah Thomas,0.4444444444444444,48.7,0.2619047619047619,1.5625,35.1,3.4
232,Isaiah Todd,0.7142857142857143,66.7,0.23529411764705885,2.9999999999999996,0.0,0.73
