,Player,Restricted Area Percentage
428,Montrezl Harrell,0.7971014492753623
429,Moritz Wagner,0.8333333333333334
430,Moses Brown,0.8518518518518519
431,Moses Moody,0.75
432,Moses Wright,0.5
433,Mychal Mulder,0.6363636363636362
434,Myles Powell,0.625
435,Myles Turner,0.6086956521739131
436,Naji Marshall,0.6785714285714286
437,Nassir Little,0.78125
438,Nate Hinton,0.0
439,Nathan Knight,0.7727272727272726
440,Naz Reid,0.725
441,Neemias Queta,0.6538461538461539
442,Nemanja Bjelica,0.6
443,Nerlens Noel,0.65
444,Nic Claxton,0.8
445,Nick Richards,0.7777777777777778
446,Nickeil Alexander-Walker,0.6744186046511628
447,Nicolas Batum,0.8181818181818181
448,Nik Stauskas,1.0
449,Nikola Jokic,0.5454545454545454
450,Nikola Vucevic,0.5185185185185186
451,Norman Powell,0.6885245901639345
452,Norvel Pelle,1.0
453,O.G. Anunoby,0.7213114754098361
454,Obi Toppin,0.878048780487805
455,Olivier Sarr,0.5806451612903226
456,Omer Yurtseven,0.5853658536585367
457,Onyeka Okongwu,0.7608695652173914
458,Oshae Brissett,0.7837837837837838
459,Otto Porter Jr.,0.6086956521739131
460,P.J. Dozier,0.5
461,P.J. Tucker,0.5172413793103449
462,P.J. Washington,0.7714285714285715
463,Paris Bass,0.5
464,Pascal Siakam,0.4298245614035088
465,Pat Connaughton,0.7777777777777778
466,Patrick Beverley,0.48275862068965514
467,Patrick Williams,0.6071428571428572
468,Patty Mills,0.6666666666666666
469,Paul George,0.5606060606060607
470,Paul Millsap,0.7
471,Paul Reed,0.8
472,Paul Watson,0.45454545454545453
473,Payton Pritchard,0.6363636363636362
474,Petr Cornelie,0.8333333333333334
475,Precious Achiuwa,0.6226415094339622
476,Quentin Grimes,0.8333333333333334
477,Quinndary Weatherspoon,0.7499999999999999
478,R.J. Hampton,0.5789473684210527
479,RJ Barrett,0.63
480,RJ Nembhard Jr.,0.6
481,Rajon Rondo,0.65
482,Raul Neto,0.4390243902439025
483,Rayjon Tucker,1.0
484,Reggie Bullock,0.6363636363636362
485,Reggie Jackson,0.484375
486,Reggie Perry,0.5925925925925926
487,Richaun Holmes,0.5873015873015872
488,Ricky Rubio,0.5625
489,Rob Edwards,
490,Robert Covington,0.75
491,Robert Williams III,0.8813559322033898
492,Robert Woodard II,0.5555555555555556
493,Robin Lopez,0.4081632653061224
494,Rodney Hood,0.5
495,Rodney McGruder,0.6923076923076923
496,Romeo Langford,0.5789473684210527
497,Royce O'Neale,0.8235294117647058
498,Rudy Gay,0.5454545454545454
499,Rudy Gobert,0.881578947368421
500,Rui Hachimura,0.5945945945945946
501,Russell Westbrook,0.7263157894736842
502,Ryan Arcidiacono,0.0
503,Saben Lee,0.7666666666666666
504,Saddiq Bey,0.625
505,Sam Dekker,
506,Sam Hauser,1.0
507,Sam Merrill,1.0
508,Sandro Mamukelashvili,0.7999999999999999
509,Santi Aldama,0.6799999999999999
510,Scottie Barnes,0.5125
511,Scottie Lewis,
512,Scotty Hopson,0.0
513,Sekou Doumbouya,0.8333333333333334
514,Semi Ojeleye,0.28571428571428575
515,Serge Ibaka,0.5185185185185185
516,Seth Curry,0.38095238095238093
517,Shai Gilgeous-Alexander,0.495575221238938
518,Shake Milton,0.5
519,Shaq Buchanan,1.0
520,Shaquille Harrison,0.75
521,Sharife Cooper,1.0
522,Skylar Mays,0.7857142857142857
523,Solomon Hill,0.8333333333333334
524,Spencer Dinwiddie,0.48979591836734687
525,Stanley Johnson,0.6296296296296295
526,Stephen Curry,0.6037735849056604
527,Sterling Brown,0.7272727272727273
528,Steven Adams,0.7755102040816325
529,Svi Mykhailiuk,0.7333333333333334
